customer_id,signup_date,city,acquisition_channel
CUST00001,2024-09-13,Bengaluru,Website
CUST00002,2023-01-25,Hyderabad,Website
CUST00003,2023-09-25,Pune,Mobile App
CUST00004,2023-08-05,Jaipur,Website
CUST00005,2024-12-16,Kolkata,Website
CUST00006,2024-10-19,Bengaluru,Website
CUST00007,2025-05-17,Jaipur,Mobile App
CUST00008,2023-03-26,Jaipur,Website
CUST00009,2024-02-15,Jaipur,Website
CUST00010,2023-01-29,Ahmedabad,Mobile App
CUST00011,2023-08-01,Mumbai,Retail Store
CUST00012,2024-05-06,Pune,Mobile App
CUST00013,2023-01-26,Chennai,Website
CUST00014,2023-07-13,Delhi,Marketplace
CUST00015,2024-09-23,Chennai,Website
CUST00016,2024-06-13,Kolkata,Website
CUST00017,2023-08-03,Chennai,Mobile App
CUST00018,2024-07-26,Mumbai,Mobile App
CUST00019,2025-02-25,Jaipur,Website
CUST00020,2023-01-07,Kolkata,Website
CUST00021,2025-02-22,Hyderabad,Retail Store
CUST00022,2024-11-09,Kochi,Retail Store
CUST00023,2023-11-27,Chennai,Mobile App
CUST00024,2023-06-01,Bengaluru,Website
CUST00025,2025-07-19,Delhi,Retail Store
CUST00026,2023-11-24,Bengaluru,Retail Store
CUST00027,2023-04-01,Bengaluru,Website
CUST00028,2023-04-05,Ahmedabad,Mobile App
CUST00029,2025-04-03,Chennai,Website
CUST00030,2024-08-09,Chennai,Website
CUST00031,2025-02-23,Hyderabad,Mobile App
CUST00032,2024-12-10,Bengaluru,Mobile App
CUST00033,2024-06-05,Pune,Mobile App
CUST00034,2025-08-03,Delhi,Website
CUST00035,2024-01-03,Kolkata,Website
CUST00036,2024-06-20,Jaipur,Website
CUST00037,2025-03-17,Chennai,Retail Store
CUST00038,2024-08-24,Mumbai,Website
CUST00039,2025-04-17,Mumbai,Retail Store
CUST00040,2024-07-15,Kolkata,Website
CUST00041,2024-11-15,Delhi,Marketplace
CUST00042,2023-02-14,Kochi,Retail Store
CUST00043,2023-08-10,Chennai,Website
CUST00044,2023-10-09,Ahmedabad,Website
CUST00045,2023-03-19,Ahmedabad,Website
CUST00046,2023-08-15,Pune,Website
CUST00047,2023-04-09,Jaipur,Mobile App
CUST00048,2023-09-28,Kochi,Mobile App
CUST00049,2024-09-09,Kochi,Website
CUST00050,2023-12-21,Delhi,Marketplace
CUST00051,2023-12-26,Pune,Mobile App
CUST00052,2023-07-23,Bengaluru,Retail Store
CUST00053,2023-09-17,Bengaluru,Website
CUST00054,2025-06-29,Pune,Retail Store
CUST00055,2024-09-21,Kolkata,Mobile App
CUST00056,2024-08-15,Kolkata,Website
CUST00057,2023-06-16,Ahmedabad,Mobile App
CUST00058,2024-12-09,Jaipur,Retail Store
CUST00059,2023-06-08,Mumbai,Mobile App
CUST00060,2024-01-04,Bengaluru,Mobile App
CUST00061,2025-08-19,Jaipur,Retail Store
CUST00062,2024-09-14,Chennai,Website
CUST00063,2024-06-25,Kolkata,Website
CUST00064,2024-10-27,Mumbai,Marketplace
CUST00065,2025-03-30,Hyderabad,Marketplace
CUST00066,2025-01-24,Pune,Mobile App
CUST00067,2023-08-11,Bengaluru,Retail Store
CUST00068,2023-02-01,Hyderabad,Retail Store
CUST00069,2023-11-03,Jaipur,Mobile App
CUST00070,2023-09-18,Pune,Website
CUST00071,2023-07-25,Pune,Mobile App
CUST00072,2025-07-05,Jaipur,Marketplace
CUST00073,2025-05-01,Kochi,Website
CUST00074,2023-11-02,Mumbai,Website
CUST00075,2024-09-29,Chennai,Retail Store
CUST00076,2024-01-20,Hyderabad,Website
CUST00077,2025-06-07,Delhi,Retail Store
CUST00078,2024-03-22,Bengaluru,Website
CUST00079,2023-09-15,Ahmedabad,Retail Store
CUST00080,2023-08-28,Jaipur,Retail Store
CUST00081,2024-06-29,Pune,Mobile App
CUST00082,2023-09-13,Jaipur,Website
CUST00083,2024-07-22,Jaipur,Retail Store
CUST00084,2025-05-22,Kolkata,Marketplace
CUST00085,2024-01-24,Jaipur,Retail Store
CUST00086,2023-08-02,Delhi,Mobile App
CUST00087,2025-08-27,Kolkata,Marketplace
CUST00088,2024-05-10,Chennai,Mobile App
CUST00089,2023-03-30,Jaipur,Mobile App
CUST00090,2023-02-15,Delhi,Website
CUST00091,2023-04-17,Chennai,Website
CUST00092,2024-09-01,Jaipur,Website
CUST00093,2025-02-08,Delhi,Website
CUST00094,2024-02-15,Mumbai,Website
CUST00095,2023-03-03,Mumbai,Retail Store
CUST00096,2024-01-06,Bengaluru,Mobile App
CUST00097,2025-08-26,Hyderabad,Mobile App
CUST00098,2024-05-29,Delhi,Mobile App
CUST00099,2025-08-01,Kochi,Mobile App
CUST00100,2025-04-16,Delhi,Retail Store
CUST00101,2023-01-12,Kolkata,Website
CUST00102,2024-12-01,Bengaluru,Mobile App
CUST00103,2024-10-24,Chennai,Mobile App
CUST00104,2024-06-05,Ahmedabad,Retail Store
CUST00105,2023-09-17,Mumbai,Mobile App
CUST00106,2024-09-15,Bengaluru,Website
CUST00107,2023-04-19,Chennai,Retail Store
CUST00108,2024-02-27,Bengaluru,Website
CUST00109,2024-03-17,Delhi,Mobile App
CUST00110,2025-07-16,Pune,Mobile App
CUST00111,2025-05-01,Hyderabad,Mobile App
CUST00112,2023-09-14,Bengaluru,Mobile App
CUST00113,2024-05-01,Jaipur,Website
CUST00114,2023-06-23,Jaipur,Retail Store
CUST00115,2025-06-06,Bengaluru,Marketplace
CUST00116,2025-04-26,Delhi,Website
CUST00117,2023-10-18,Ahmedabad,Mobile App
CUST00118,2024-09-13,Kolkata,Marketplace
CUST00119,2024-08-14,Pune,Website
CUST00120,2023-05-29,Kolkata,Website
CUST00121,2025-01-11,Ahmedabad,Website
CUST00122,2024-06-08,Jaipur,Mobile App
CUST00123,2025-01-26,Ahmedabad,Website
CUST00124,2024-05-30,Hyderabad,Website
CUST00125,2023-01-01,Mumbai,Mobile App
CUST00126,2023-11-12,Jaipur,Website
CUST00127,2023-01-19,Chennai,Website
CUST00128,2025-06-22,Kochi,Mobile App
CUST00129,2025-05-04,Jaipur,Website
CUST00130,2025-03-19,Jaipur,Website
CUST00131,2023-10-26,Pune,Website
CUST00132,2023-02-26,Bengaluru,Mobile App
CUST00133,2025-05-03,Delhi,Website
CUST00134,2025-07-09,Kochi,Website
CUST00135,2023-03-25,Kochi,Website
CUST00136,2024-04-17,Bengaluru,Website
CUST00137,2023-03-09,Kochi,Mobile App
CUST00138,2025-01-09,Chennai,Marketplace
CUST00139,2025-01-14,Delhi,Mobile App
CUST00140,2023-05-05,Chennai,Website
CUST00141,2024-04-06,Kolkata,Website
CUST00142,2024-06-18,Hyderabad,Mobile App
CUST00143,2023-09-15,Bengaluru,Website
CUST00144,2025-04-28,Kochi,Marketplace
CUST00145,2024-02-16,Bengaluru,Website
CUST00146,2023-07-25,Delhi,Mobile App
CUST00147,2024-06-08,Pune,Marketplace
CUST00148,2024-12-10,Bengaluru,Retail Store
CUST00149,2023-07-15,Chennai,Website
CUST00150,2023-10-30,Ahmedabad,Retail Store
CUST00151,2025-08-25,Hyderabad,Mobile App
CUST00152,2024-09-23,Jaipur,Website
CUST00153,2024-03-01,Jaipur,Website
CUST00154,2024-05-18,Bengaluru,Marketplace
CUST00155,2023-04-28,Pune,Website
CUST00156,2023-08-07,Bengaluru,Mobile App
CUST00157,2023-11-25,Pune,Website
CUST00158,2024-07-25,Kochi,Website
CUST00159,2023-08-12,Chennai,Website
CUST00160,2023-08-03,Hyderabad,Mobile App
CUST00161,2023-03-11,Hyderabad,Marketplace
CUST00162,2024-09-05,Mumbai,Website
CUST00163,2023-08-11,Kolkata,Retail Store
CUST00164,2025-05-30,Mumbai,Website
CUST00165,2025-04-15,Pune,Mobile App
CUST00166,2023-03-10,Hyderabad,Website
CUST00167,2023-08-20,Ahmedabad,Mobile App
CUST00168,2024-10-12,Kolkata,Mobile App
CUST00169,2023-07-28,Bengaluru,Website
CUST00170,2023-05-09,Pune,Mobile App
CUST00171,2025-06-28,Chennai,Mobile App
CUST00172,2024-07-09,Pune,Mobile App
CUST00173,2024-04-04,Mumbai,Website
CUST00174,2025-02-01,Mumbai,Retail Store
CUST00175,2025-02-23,Delhi,Mobile App
CUST00176,2023-07-05,Bengaluru,Website
CUST00177,2023-04-05,Jaipur,Retail Store
CUST00178,2024-02-23,Kolkata,Marketplace
CUST00179,2024-02-16,Pune,Marketplace
CUST00180,2024-03-29,Delhi,Retail Store
CUST00181,2024-12-09,Pune,Retail Store
CUST00182,2024-10-16,Mumbai,Website
CUST00183,2025-08-14,Chennai,Retail Store
CUST00184,2023-04-06,Kolkata,Retail Store
CUST00185,2024-01-27,Delhi,Website
CUST00186,2023-11-26,Bengaluru,Website
CUST00187,2025-04-17,Mumbai,Retail Store
CUST00188,2023-08-30,Delhi,Website
CUST00189,2023-07-04,Ahmedabad,Website
CUST00190,2024-03-12,Delhi,Website
CUST00191,2024-02-15,Delhi,Website
CUST00192,2023-09-28,Hyderabad,Retail Store
CUST00193,2023-08-31,Hyderabad,Website
CUST00194,2025-06-16,Jaipur,Website
CUST00195,2024-03-06,Jaipur,Website
CUST00196,2025-04-17,Mumbai,Website
CUST00197,2024-06-18,Hyderabad,Website
CUST00198,2023-02-19,Hyderabad,Website
CUST00199,2025-08-29,Kochi,Mobile App
CUST00200,2025-03-23,Chennai,Mobile App
CUST00201,2025-07-30,Jaipur,Website
CUST00202,2025-06-19,Kochi,Website
CUST00203,2025-04-04,Mumbai,Mobile App
CUST00204,2023-06-11,Mumbai,Mobile App
CUST00205,2024-04-17,Jaipur,Mobile App
CUST00206,2023-07-27,Delhi,Website
CUST00207,2024-01-25,Bengaluru,Marketplace
CUST00208,2023-02-26,Chennai,Mobile App
CUST00209,2024-01-04,Bengaluru,Mobile App
CUST00210,2025-08-15,Hyderabad,Mobile App
CUST00211,2023-09-15,Kolkata,Website
CUST00212,2025-02-01,Hyderabad,Mobile App
CUST00213,2024-03-18,Delhi,Mobile App
CUST00214,2024-02-16,Kolkata,Mobile App
CUST00215,2025-07-19,Pune,Mobile App
CUST00216,2025-08-25,Hyderabad,Website
CUST00217,2024-06-24,Mumbai,Website
CUST00218,2024-11-29,Delhi,Mobile App
CUST00219,2023-05-31,Kochi,Mobile App
CUST00220,2023-10-16,Chennai,Mobile App
CUST00221,2025-07-30,Ahmedabad,Mobile App
CUST00222,2024-07-16,Jaipur,Mobile App
CUST00223,2024-06-11,Pune,Mobile App
CUST00224,2024-12-28,Hyderabad,Mobile App
CUST00225,2023-02-25,Kochi,Website
CUST00226,2024-07-21,Delhi,Mobile App
CUST00227,2024-05-03,Delhi,Retail Store
CUST00228,2025-04-08,Pune,Website
CUST00229,2023-06-03,Delhi,Marketplace
CUST00230,2025-07-22,Kochi,Retail Store
CUST00231,2023-03-19,Bengaluru,Mobile App
CUST00232,2023-06-30,Kochi,Website
CUST00233,2024-08-01,Kolkata,Mobile App
CUST00234,2024-10-18,Delhi,Website
CUST00235,2023-08-17,Mumbai,Retail Store
CUST00236,2023-04-27,Bengaluru,Retail Store
CUST00237,2025-05-15,Delhi,Website
CUST00238,2023-08-28,Jaipur,Mobile App
CUST00239,2024-07-31,Jaipur,Website
