order_id,customer_id,order_date,product_name,category,quantity,unit_price_inr,discount_pct,channel,subscription_type,city
ORD100005,CUST00001,2024-12-02,Reusable Cold Brew Bottle,Merchandise,1,599,25.0,Website,One-time,Bengaluru
ORD100003,CUST00001,2025-03-16,Reusable Cold Brew Bottle,Merchandise,1,599,25.0,Website,Quarterly,Bengaluru
ORD100006,CUST00001,2025-03-30,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,15.0,Marketplace,Bi-Weekly,Bengaluru
ORD100006,CUST00001,2025-03-30,Reusable Cold Brew Bottle,Merchandise,3,599,0.0,Marketplace,Bi-Weekly,Bengaluru
ORD100006,CUST00001,2025-03-30,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Marketplace,Bi-Weekly,Bengaluru
ORD100006,CUST00001,2025-03-30,French Press - 600ml,Equipment,1,1199,0.0,Marketplace,Bi-Weekly,Bengaluru
ORD100007,CUST00001,2025-04-21,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Mobile App,Monthly,Bengaluru
ORD100001,CUST00001,2025-05-12,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,Monthly,Bengaluru
ORD100004,CUST00001,2025-07-15,Manual Burr Grinder,Equipment,1,2499,0.0,Website,One-time,bengaluru
ORD100002,CUST00001,2025-08-21,French Press - 600ml,Equipment,1,1199,0.0,Website,Quarterly,Bengaluru
ORD100002,CUST00001,2025-08-21,Attikan Estate AA - 250g,Coffee Beans,1,449,20.0,Website,Quarterly,Bengaluru
ORD100010,CUST00002,2023-02-20,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Website,Quarterly,hyderabad
ORD100010,CUST00002,2023-02-20,Manual Burr Grinder,Equipment,3,2499,0.0,Website,Quarterly,hyderabad
ORD100009,CUST00002,2023-06-29,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,0.0,Website,One-time,Hyderabad
ORD100011,CUST00002,2024-03-22,Filter Coffee Decoction - 200ml,Ready to Drink,2,149,0.0,Mobile App,Bi-Weekly,Hyderabad
ORD100008,CUST00002,2025-02-07,Pour-Over Dripper,Equipment,3,899,0.0,Retail Store,Quarterly,Hyderabad
ORD100012,CUST00003,2025-01-05,Kaapi Culture Mug,Merchandise,1,349,0.0,Mobile App,Quarterly,Pune
ORD100014,CUST00004,2023-09-10,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Retail Store,Monthly,jaipur
ORD100015,CUST00004,2023-10-26,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,15.0,Website,Monthly,jaipur
